Great weekend with Hannah Nguyen-Chang in #SF.  Think we overdone it this Saturday as she’s experiencing lots of pa… https://t.co/SzWYHoCFgY	37.78007888793945	-122.42015838623047
From https://t.co/MDjtLDWTeX - One of the greatest things about #Wellington is that it’s full of art. As Jeff Tweedy of @people said, “I think art is a consolation regardless of its content. It has the power to move and make you feel like you’re not.” https://t.co/QPedRiLY0d	-41.285099029541016	174.7760009765625		
Why is #Wellington public transport so slow when you need to get somewhere. I don't want to go to the dentist, but I do need to be there on time. #WellingtonProblems	-41.285099029541016	174.7760009765625		
Been a full- on day in beautiful #Scarborough now rounding it off with dinner and practising for tomorrow night's gig at @people ! #funnygirl #comedy #Leeds #comedian #Wellington #laughterforlife #Yorkshire	54.28013610839844	-0.40240100026130676		
Nothing better than a stroll through San Francisco’s Design District...#potrerohill  . . . . . . . . . .… https://t.co/RuAlOTUD6i	37.78007888793945	-122.42015838623047			
I love the people living in Vista Verde Ct, they eat shrimps with their fingers. #SanFrancisco	37.735385053085	-122.445079896146		
Good morning Parramatta! View from the 27th floor of the Meriton #sydney #parramatta #meriton #chai #bondi #chailatte #monday @ Meriton Altitute Apartments Parramatta https://t.co/wKZleBBH9q	-33.81403732299805	151.00604248046875		
RT @people: 😍💘 Awesome #evening in #Sydney #Australia https://t.co/pKQInDWlzW	-33.873199462890625	151.2095947265625		
I love the people living in Meda Ave, they are so optimistic. #SanFrancisco	37.723809001823	-122.44200599772		
I love the people living in Tamalpais Ter, they are terrific. #SanFrancisco	37.78007888793945	-122.42015838623047	
Aww my lovely beach I missed you. . . . . #newzealand #wellington #photographer #landscape #fujilove #clouds #lyallbay #beach #waves https://t.co/yFW33nLs1b https://t.co/2gqPwzyRCA	-41.285099029541016	174.7760009765625		
RT @people: Can't get tired of this view. #Sydney https://t.co/hcV8a4l3pI	-33.873199462890625	151.2095947265625		
Racism is well and truly still alive here! Just filed a police report on an incident! Some people just don't want any peace #notoracism #Wellington #NewZealand	-41.285099029541016	174.7760009765625		
Today we rode over the Golden Gate Bridge and it was pretty incredible. I’m sure I’ll be back in any free evenings… https://t.co/mdkeKAbxOB	37.81217956542969	-122.47769165039062	
RT @people: Great to be back in #Sydney tonight, ahead of a jam-packed week - visits to wonderful schools exploring #evidence use in @…	-33.873199462890625	151.2095947265625	
Spent the weekend in Sonoma and had to stop at the bridge on the way home. Such a beautiful sunset.  #sonomacounty… https://t.co/hMfQM1AOkc	38.291961669921875	-122.45800018310547		
I love the people living in Shotwell St, they basically invented air fresheners. #SanFrancisco	37.7564371969556	-122.415553907211		
#Sydney please 🚌 too many private cars sat blocking bridge access 🌉 cutting in to pull back out 🚘🤦‍♀️ https://t.co/UzfqnZtER6	-33.873199462890625	151.2095947265625		
RT @people: Always a sure sign that #Spring has arrived in #Wellington - this blossom tree just lights up the street! Stood under it to…	-41.285099029541016	174.7760009765625		
Excited to be here @people in SF to witness the 1st of 2 nights of @people RAW and Smackdown #wwe #chasecenter… https://t.co/gNbXQONeq3	37.78007888793945	-122.42015838623047		
You couldn't live in Wellington and not have a memory of this 🥰🥰 #wellington #wellingtonharbour #memories https://t.co/w0TTqHbgMl https://t.co/JzEyOueg7h	-41.285099029541016	174.7760009765625		
#want great Flamingo Mobile in #SanFrancisco today https://t.co/cW31iZzehq	37.78007888793945	-122.42015838623047		
